epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,985.921,1.23356,2.9093,1.09414,1.37363,0.28878,0.45455,0.27133,0.10854,0.24645,0.54509,0.24168,0.08118,2.34651,4.6687,3.09298,2.6912,0.0016568,0.0016568,0.0016568
54,1003.76,1.22332,2.99504,1.13963,1.38423,0.34773,0.46866,0.32886,0.12452,0.29318,0.45455,0.26424,0.08598,2.25661,4.68278,2.81516,2.49172,0.0016502,0.0016502,0.0016502
55,1021.92,1.14479,2.83719,1.05757,1.30379,0.34018,0.51515,0.40199,0.15503,0.27501,0.42424,0.34535,0.12366,2.17205,4.63102,2.63179,2.41282,0.0016436,0.0016436,0.0016436
56,1039.97,1.2108,3.0212,1.09552,1.38052,0.41617,0.45364,0.38002,0.13504,0.51869,0.27273,0.32403,0.1061,2.07049,4.93428,2.65487,2.32786,0.001637,0.001637,0.001637
57,1057.83,1.22823,2.94983,1.16127,1.40363,0.3359,0.45455,0.28064,0.08935,0.28341,0.27273,0.19783,0.05618,2.21744,4.80183,2.79134,2.47749,0.0016304,0.0016304,0.0016304
58,1075.51,1.20718,2.87406,1.11999,1.41469,0.43225,0.33333,0.28604,0.09215,0.38832,0.30303,0.24036,0.06031,2.17521,4.88886,2.72575,2.45554,0.0016238,0.0016238,0.0016238
59,1093.63,1.1788,2.7768,1.05754,1.36118,0.39543,0.33333,0.27867,0.1031,0.36901,0.30303,0.24816,0.07396,2.12844,4.53681,2.5812,2.40321,0.0016172,0.0016172,0.0016172
60,1111.47,1.10055,2.70399,1.01475,1.31071,0.30843,0.42424,0.28846,0.09946,0.32421,0.33333,0.28111,0.07775,2.23773,4.44256,2.53598,2.47341,0.0016106,0.0016106,0.0016106
61,1129.46,1.10043,2.89702,1.01103,1.26963,0.34333,0.48485,0.27841,0.0992,0.2718,0.50905,0.20141,0.04868,2.15695,4.28262,2.64507,2.39029,0.001604,0.001604,0.001604
62,1147.46,1.14931,2.76001,1.05574,1.31176,0.25757,0.39394,0.23556,0.07226,0.18484,0.30303,0.10697,0.02965,2.2512,4.09359,2.83041,2.48826,0.0015974,0.0015974,0.0015974
